Category,value,Season
Safety of on-campus living,8.085858586,Fall
The Color app,6.616161616,Fall
Crimson Clear,4.712121212,Fall
Harvard's restrictions on in-person socializing,2.95959596,Fall
Harvard's color-coded phased reopening system,,Fall
Keeping on-campus printers closed ,,Fall
On-campus internet,5.954545455,Fall
Quality of food at HUDS,4.434343434,Fall
Harvard's ability to contain COVID-19,8.641414141,Fall
Remote learning,4.035353535,Fall
In-person interactions within Harvard,4.373737374,Fall
The Community Council,4.328282828,Fall
Support for students who need storage,3.171717172,Fall
In-person interactions with peers,4.792929293,Fall
Opportunities to socialize,3.212121212,Fall
On-campus life overall,4.949494949,Fall
Safety of on-campus living,8.0625,Spring
The Color app,5.97810219,Spring
Crimson Clear,5.204225352,Spring
Harvard's restrictions on in-person socializing,3.963768116,Spring
Harvard's color-coded phased reopening system,6.111888112,Spring
Keeping on-campus printers closed ,1.176056338,Spring
On-campus internet,5.377622378,Spring
Quality of food at HUDS,5.085714286,Spring
Harvard's ability to contain COVID-19,8.126760563,Spring
Remote learning,,Spring
In-person interactions within Harvard,4.611510791,Spring
The Community Council,4.261904762,Spring
Support for students who need storage,2.932330827,Spring
In-person interactions with peers,5.289855072,Spring
Opportunities to socialize,3.949640288,Spring
On-campus life overall,5.29787234,Spring